,Source,Target,Weight
225,George Q. Cannon,Erastus Snow,1
226,George Q. Cannon,Orson F. Whitney,2
227,George Q. Cannon,David O. McKay,0
228,George Q. Cannon,Kit Carson,0
229,George Q. Cannon,William H. King,0
230,George Q. Cannon,Emmeline B. Wells,1
231,George Q. Cannon,Andrew Jenson,2
232,George Q. Cannon,Grover Cleveland,1
233,George Q. Cannon,Charles Kelly,0
234,George Q. Cannon,Frank J. Cannon,8
235,George A. Smith,Heber C. Kimball,6
236,George A. Smith,Joseph F. Smith,2
237,George A. Smith,Orson Pratt,7
238,George A. Smith,Daniel H. Wells,5
239,George A. Smith,Reed Smoot,0
240,George A. Smith,John D. Lee,1
241,George A. Smith,Heber J. Grant,1
242,George A. Smith,John Wesley Powell,0
243,George A. Smith,Jacob Hamblin,7
244,George A. Smith,Theodore Roosevelt,0
245,George A. Smith,Abraham Lincoln,0
246,George A. Smith,James Buchanan,0
247,George A. Smith,Parley P. Pratt,0
248,George A. Smith,B. H. Roberts,0
249,George A. Smith,Simon Bamberger,0
250,George A. Smith,Franklin D. Richards,4
251,George A. Smith,Lorenzo Snow,4
252,George A. Smith,Heber M. Wells,0
253,George A. Smith,Franklin D. Roosevelt,0
254,George A. Smith,William Spry,0
255,George A. Smith,Thomas Kearns,0
256,George A. Smith,Willard Richards,4
257,George A. Smith,Orson Hyde,5
258,George A. Smith,Uncle Sam,0
259,George A. Smith,Lot Smith,1
260,George A. Smith,Albert Sidney Johnston,1
261,George A. Smith,Woodrow Wilson,0
262,George A. Smith,Juanita Brooks,1
263,George A. Smith,Thomas L. Kane,0
264,George A. Smith,Jim Bridger,0
265,George A. Smith,John C. Fremont,1
266,George A. Smith,Leonard Arrington,0
267,George A. Smith,Howard Stansbury,0
268,George A. Smith,John T. Caine,0
269,George A. Smith,Erastus Snow,9
270,George A. Smith,Orson F. Whitney,0
271,George A. Smith,David O. McKay,0
272,George A. Smith,Kit Carson,0
273,George A. Smith,William H. King,0
274,George A. Smith,Emmeline B. Wells,0
275,George A. Smith,Andrew Jenson,0
276,George A. Smith,Grover Cleveland,0
277,George A. Smith,Charles Kelly,0
278,George A. Smith,Frank J. Cannon,0
279,Heber C. Kimball,Joseph F. Smith,0
280,Heber C. Kimball,Orson Pratt,4
281,Heber C. Kimball,Daniel H. Wells,8
282,Heber C. Kimball,Reed Smoot,0
283,Heber C. Kimball,John D. Lee,3
284,Heber C. Kimball,Heber J. Grant,0
285,Heber C. Kimball,John Wesley Powell,0
286,Heber C. Kimball,Jacob Hamblin,0
287,Heber C. Kimball,Theodore Roosevelt,0
288,Heber C. Kimball,Abraham Lincoln,0
289,Heber C. Kimball,James Buchanan,0
290,Heber C. Kimball,Parley P. Pratt,6
291,Heber C. Kimball,B. H. Roberts,0
292,Heber C. Kimball,Simon Bamberger,0
293,Heber C. Kimball,Franklin D. Richards,2
294,Heber C. Kimball,Lorenzo Snow,0
295,Heber C. Kimball,Heber M. Wells,0
296,Heber C. Kimball,Franklin D. Roosevelt,0
297,Heber C. Kimball,William Spry,0
298,Heber C. Kimball,Thomas Kearns,0
299,Heber C. Kimball,Willard Richards,14
300,Heber C. Kimball,Orson Hyde,2
301,Heber C. Kimball,Uncle Sam,1
302,Heber C. Kimball,Lot Smith,0
303,Heber C. Kimball,Albert Sidney Johnston,0
304,Heber C. Kimball,Woodrow Wilson,0
305,Heber C. Kimball,Juanita Brooks,0
306,Heber C. Kimball,Thomas L. Kane,0
307,Heber C. Kimball,Jim Bridger,0
308,Heber C. Kimball,John C. Fremont,0
309,Heber C. Kimball,Leonard Arrington,0
310,Heber C. Kimball,Howard Stansbury,0
311,Heber C. Kimball,John T. Caine,0
312,Heber C. Kimball,Erastus Snow,1
313,Heber C. Kimball,Orson F. Whitney,0
314,Heber C. Kimball,David O. McKay,0
315,Heber C. Kimball,Kit Carson,0
316,Heber C. Kimball,William H. King,0
317,Heber C. Kimball,Emmeline B. Wells,0
318,Heber C. Kimball,Andrew Jenson,0
319,Heber C. Kimball,Grover Cleveland,0
320,Heber C. Kimball,Charles Kelly,0
321,Heber C. Kimball,Frank J. Cannon,0
322,Joseph F. Smith,Orson Pratt,1
323,Joseph F. Smith,Daniel H. Wells,2
324,Joseph F. Smith,Reed Smoot,15
325,Joseph F. Smith,John D. Lee,0
326,Joseph F. Smith,Heber J. Grant,14
327,Joseph F. Smith,John Wesley Powell,0
328,Joseph F. Smith,Jacob Hamblin,0
329,Joseph F. Smith,Theodore Roosevelt,0
330,Joseph F. Smith,Abraham Lincoln,0
331,Joseph F. Smith,James Buchanan,0
332,Joseph F. Smith,Parley P. Pratt,0
333,Joseph F. Smith,B. H. Roberts,5
334,Joseph F. Smith,Simon Bamberger,1
335,Joseph F. Smith,Franklin D. Richards,1
336,Joseph F. Smith,Lorenzo Snow,9
337,Joseph F. Smith,Heber M. Wells,0
338,Joseph F. Smith,Franklin D. Roosevelt,0
339,Joseph F. Smith,William Spry,3
340,Joseph F. Smith,Thomas Kearns,4
341,Joseph F. Smith,Willard Richards,0
342,Joseph F. Smith,Orson Hyde,1
343,Joseph F. Smith,Uncle Sam,1
344,Joseph F. Smith,Lot Smith,1
345,Joseph F. Smith,Albert Sidney Johnston,0
346,Joseph F. Smith,Woodrow Wilson,0
347,Joseph F. Smith,Juanita Brooks,0
348,Joseph F. Smith,Thomas L. Kane,0
349,Joseph F. Smith,Jim Bridger,0
350,Joseph F. Smith,John C. Fremont,0
351,Joseph F. Smith,Leonard Arrington,0
352,Joseph F. Smith,Howard Stansbury,0
353,Joseph F. Smith,John T. Caine,2
354,Joseph F. Smith,Erastus Snow,0
355,Joseph F. Smith,Orson F. Whitney,1
356,Joseph F. Smith,David O. McKay,2
357,Joseph F. Smith,Kit Carson,0
358,Joseph F. Smith,William H. King,2
359,Joseph F. Smith,Emmeline B. Wells,0
360,Joseph F. Smith,Andrew Jenson,1
361,Joseph F. Smith,Grover Cleveland,0
362,Joseph F. Smith,Charles Kelly,0
363,Joseph F. Smith,Frank J. Cannon,3
364,Orson Pratt,Daniel H. Wells,1
365,Orson Pratt,Reed Smoot,0
366,Orson Pratt,John D. Lee,2
367,Orson Pratt,Heber J. Grant,0
368,Orson Pratt,John Wesley Powell,1
369,Orson Pratt,Jacob Hamblin,1
370,Orson Pratt,Theodore Roosevelt,1
371,Orson Pratt,Abraham Lincoln,0
372,Orson Pratt,James Buchanan,0
373,Orson Pratt,Parley P. Pratt,6
374,Orson Pratt,B. H. Roberts,1
375,Orson Pratt,Simon Bamberger,0
376,Orson Pratt,Franklin D. Richards,8
377,Orson Pratt,Lorenzo Snow,4
378,Orson Pratt,Heber M. Wells,0
379,Orson Pratt,Franklin D. Roosevelt,0
380,Orson Pratt,William Spry,0
381,Orson Pratt,Thomas Kearns,0
382,Orson Pratt,Willard Richards,3
383,Orson Pratt,Orson Hyde,0
384,Orson Pratt,Uncle Sam,1
385,Orson Pratt,Lot Smith,0
386,Orson Pratt,Albert Sidney Johnston,0
387,Orson Pratt,Woodrow Wilson,0
388,Orson Pratt,Juanita Brooks,0
389,Orson Pratt,Thomas L. Kane,1
390,Orson Pratt,Jim Bridger,1
391,Orson Pratt,John C. Fremont,0
392,Orson Pratt,Leonard Arrington,0
393,Orson Pratt,Howard Stansbury,0
394,Orson Pratt,John T. Caine,0
395,Orson Pratt,Erastus Snow,8
396,Orson Pratt,Orson F. Whitney,0
397,Orson Pratt,David O. McKay,0
398,Orson Pratt,Kit Carson,0
399,Orson Pratt,William H. King,0
400,Orson Pratt,Emmeline B. Wells,2
401,Orson Pratt,Andrew Jenson,1
402,Orson Pratt,Grover Cleveland,0
403,Orson Pratt,Charles Kelly,0
404,Orson Pratt,Frank J. Cannon,0
405,Daniel H. Wells,Reed Smoot,0
406,Daniel H. Wells,John D. Lee,0
407,Daniel H. Wells,Heber J. Grant,0
408,Daniel H. Wells,John Wesley Powell,0
409,Daniel H. Wells,Jacob Hamblin,0
410,Daniel H. Wells,Theodore Roosevelt,0
411,Daniel H. Wells,Abraham Lincoln,0
412,Daniel H. Wells,James Buchanan,1
413,Daniel H. Wells,Parley P. Pratt,3
414,Daniel H. Wells,B. H. Roberts,1
415,Daniel H. Wells,Simon Bamberger,0
416,Daniel H. Wells,Franklin D. Richards,1
417,Daniel H. Wells,Lorenzo Snow,2
418,Daniel H. Wells,Heber M. Wells,3
419,Daniel H. Wells,Franklin D. Roosevelt,0
420,Daniel H. Wells,William Spry,0
421,Daniel H. Wells,Thomas Kearns,0
422,Daniel H. Wells,Willard Richards,2
423,Daniel H. Wells,Orson Hyde,1
424,Daniel H. Wells,Uncle Sam,0
425,Daniel H. Wells,Lot Smith,2
426,Daniel H. Wells,Albert Sidney Johnston,2
427,Daniel H. Wells,Woodrow Wilson,0
428,Daniel H. Wells,Juanita Brooks,0
429,Daniel H. Wells,Thomas L. Kane,0
430,Daniel H. Wells,Jim Bridger,0
431,Daniel H. Wells,John C. Fremont,0
432,Daniel H. Wells,Leonard Arrington,0
433,Daniel H. Wells,Howard Stansbury,0
434,Daniel H. Wells,John T. Caine,1
435,Daniel H. Wells,Erastus Snow,0
436,Daniel H. Wells,Orson F. Whitney,0
437,Daniel H. Wells,David O. McKay,0
438,Daniel H. Wells,Kit Carson,0
439,Daniel H. Wells,William H. King,0
440,Daniel H. Wells,Emmeline B. Wells,0
441,Daniel H. Wells,Andrew Jenson,0
442,Daniel H. Wells,Grover Cleveland,0
443,Daniel H. Wells,Charles Kelly,0
444,Daniel H. Wells,Frank J. Cannon,0
445,Reed Smoot,John D. Lee,0
446,Reed Smoot,Heber J. Grant,5
447,Reed Smoot,John Wesley Powell,0
448,Reed Smoot,Jacob Hamblin,0
449,Reed Smoot,Theodore Roosevelt,7
450,Reed Smoot,Abraham Lincoln,0
451,Reed Smoot,James Buchanan,0
452,Reed Smoot,Parley P. Pratt,0
453,Reed Smoot,B. H. Roberts,3
454,Reed Smoot,Simon Bamberger,3
455,Reed Smoot,Franklin D. Richards,0
456,Reed Smoot,Lorenzo Snow,1
457,Reed Smoot,Heber M. Wells,0
458,Reed Smoot,Franklin D. Roosevelt,1
459,Reed Smoot,William Spry,5
460,Reed Smoot,Thomas Kearns,6
461,Reed Smoot,Willard Richards,0
462,Reed Smoot,Orson Hyde,0
463,Reed Smoot,Uncle Sam,0
464,Reed Smoot,Lot Smith,0
465,Reed Smoot,Albert Sidney Johnston,0
466,Reed Smoot,Woodrow Wilson,2
467,Reed Smoot,Juanita Brooks,0
468,Reed Smoot,Thomas L. Kane,0
469,Reed Smoot,Jim Bridger,0
470,Reed Smoot,John C. Fremont,0
471,Reed Smoot,Leonard Arrington,0
472,Reed Smoot,Howard Stansbury,0
473,Reed Smoot,John T. Caine,0
474,Reed Smoot,Erastus Snow,0
475,Reed Smoot,Orson F. Whitney,0
476,Reed Smoot,David O. McKay,0
477,Reed Smoot,Kit Carson,0
478,Reed Smoot,William H. King,9
479,Reed Smoot,Emmeline B. Wells,1
480,Reed Smoot,Andrew Jenson,0
481,Reed Smoot,Grover Cleveland,1
482,Reed Smoot,Charles Kelly,0
483,Reed Smoot,Frank J. Cannon,2
484,John D. Lee,Heber J. Grant,0
485,John D. Lee,John Wesley Powell,2
486,John D. Lee,Jacob Hamblin,12
487,John D. Lee,Theodore Roosevelt,0
488,John D. Lee,Abraham Lincoln,0
489,John D. Lee,James Buchanan,0
490,John D. Lee,Parley P. Pratt,1
491,John D. Lee,B. H. Roberts,1
492,John D. Lee,Simon Bamberger,0
493,John D. Lee,Franklin D. Richards,1
494,John D. Lee,Lorenzo Snow,0
495,John D. Lee,Heber M. Wells,0
496,John D. Lee,Franklin D. Roosevelt,0
497,John D. Lee,William Spry,0
498,John D. Lee,Thomas Kearns,0
499,John D. Lee,Willard Richards,0
500,John D. Lee,Orson Hyde,0
501,John D. Lee,Uncle Sam,0
502,John D. Lee,Lot Smith,0
503,John D. Lee,Albert Sidney Johnston,0
504,John D. Lee,Woodrow Wilson,0
505,John D. Lee,Juanita Brooks,5
506,John D. Lee,Thomas L. Kane,0
507,John D. Lee,Jim Bridger,0
508,John D. Lee,John C. Fremont,0
509,John D. Lee,Leonard Arrington,0
510,John D. Lee,Howard Stansbury,0
511,John D. Lee,John T. Caine,0
512,John D. Lee,Erastus Snow,4
513,John D. Lee,Orson F. Whitney,1
514,John D. Lee,David O. McKay,0
515,John D. Lee,Kit Carson,0
516,John D. Lee,William H. King,0
517,John D. Lee,Emmeline B. Wells,1
518,John D. Lee,Andrew Jenson,0
519,John D. Lee,Grover Cleveland,0
520,John D. Lee,Charles Kelly,0
521,John D. Lee,Frank J. Cannon,0
522,Heber J. Grant,John Wesley Powell,0
523,Heber J. Grant,Jacob Hamblin,0
524,Heber J. Grant,Theodore Roosevelt,0
525,Heber J. Grant,Abraham Lincoln,0
526,Heber J. Grant,James Buchanan,0
527,Heber J. Grant,Parley P. Pratt,0
528,Heber J. Grant,B. H. Roberts,0
529,Heber J. Grant,Simon Bamberger,2
530,Heber J. Grant,Franklin D. Richards,0
531,Heber J. Grant,Lorenzo Snow,2
532,Heber J. Grant,Heber M. Wells,1
533,Heber J. Grant,Franklin D. Roosevelt,2
534,Heber J. Grant,William Spry,1
535,Heber J. Grant,Thomas Kearns,0
536,Heber J. Grant,Willard Richards,0
537,Heber J. Grant,Orson Hyde,0
538,Heber J. Grant,Uncle Sam,0
539,Heber J. Grant,Lot Smith,0
540,Heber J. Grant,Albert Sidney Johnston,0
541,Heber J. Grant,Woodrow Wilson,1
542,Heber J. Grant,Juanita Brooks,0
543,Heber J. Grant,Thomas L. Kane,0
544,Heber J. Grant,Jim Bridger,0
545,Heber J. Grant,John C. Fremont,0
546,Heber J. Grant,Leonard Arrington,0
547,Heber J. Grant,Howard Stansbury,0
548,Heber J. Grant,John T. Caine,0
549,Heber J. Grant,Erastus Snow,0
550,Heber J. Grant,Orson F. Whitney,0
551,Heber J. Grant,David O. McKay,7
552,Heber J. Grant,Kit Carson,0
553,Heber J. Grant,William H. King,0
554,Heber J. Grant,Emmeline B. Wells,0
555,Heber J. Grant,Andrew Jenson,0
556,Heber J. Grant,Grover Cleveland,0
557,Heber J. Grant,Charles Kelly,0
558,Heber J. Grant,Frank J. Cannon,0
559,John Wesley Powell,Jacob Hamblin,3
560,John Wesley Powell,Theodore Roosevelt,1
561,John Wesley Powell,Abraham Lincoln,0
562,John Wesley Powell,James Buchanan,0
563,John Wesley Powell,Parley P. Pratt,0
564,John Wesley Powell,B. H. Roberts,0
565,John Wesley Powell,Simon Bamberger,0
566,John Wesley Powell,Franklin D. Richards,0
567,John Wesley Powell,Lorenzo Snow,0
568,John Wesley Powell,Heber M. Wells,0
569,John Wesley Powell,Franklin D. Roosevelt,0
570,John Wesley Powell,William Spry,0
571,John Wesley Powell,Thomas Kearns,0
572,John Wesley Powell,Willard Richards,0
573,John Wesley Powell,Orson Hyde,0
574,John Wesley Powell,Uncle Sam,0
575,John Wesley Powell,Lot Smith,0
576,John Wesley Powell,Albert Sidney Johnston,0
577,John Wesley Powell,Woodrow Wilson,0
578,John Wesley Powell,Juanita Brooks,0
579,John Wesley Powell,Thomas L. Kane,0
580,John Wesley Powell,Jim Bridger,0
581,John Wesley Powell,John C. Fremont,0
582,John Wesley Powell,Leonard Arrington,0
583,John Wesley Powell,Howard Stansbury,1
584,John Wesley Powell,John T. Caine,1
585,John Wesley Powell,Erastus Snow,0
586,John Wesley Powell,Orson F. Whitney,0
587,John Wesley Powell,David O. McKay,0
588,John Wesley Powell,Kit Carson,0
589,John Wesley Powell,William H. King,0
590,John Wesley Powell,Emmeline B. Wells,0
591,John Wesley Powell,Andrew Jenson,0
592,John Wesley Powell,Grover Cleveland,0
593,John Wesley Powell,Charles Kelly,2
594,John Wesley Powell,Frank J. Cannon,0
595,Jacob Hamblin,Theodore Roosevelt,0
596,Jacob Hamblin,Abraham Lincoln,0
597,Jacob Hamblin,James Buchanan,0
598,Jacob Hamblin,Parley P. Pratt,1
599,Jacob Hamblin,B. H. Roberts,0
600,Jacob Hamblin,Simon Bamberger,0
601,Jacob Hamblin,Franklin D. Richards,0
602,Jacob Hamblin,Lorenzo Snow,0
603,Jacob Hamblin,Heber M. Wells,0
604,Jacob Hamblin,Franklin D. Roosevelt,0
605,Jacob Hamblin,William Spry,0
606,Jacob Hamblin,Thomas Kearns,0
607,Jacob Hamblin,Willard Richards,0
608,Jacob Hamblin,Orson Hyde,1
609,Jacob Hamblin,Uncle Sam,0
610,Jacob Hamblin,Lot Smith,0
611,Jacob Hamblin,Albert Sidney Johnston,0
612,Jacob Hamblin,Woodrow Wilson,0
613,Jacob Hamblin,Juanita Brooks,0
614,Jacob Hamblin,Thomas L. Kane,0
615,Jacob Hamblin,Jim Bridger,0
616,Jacob Hamblin,John C. Fremont,0
617,Jacob Hamblin,Leonard Arrington,0
618,Jacob Hamblin,Howard Stansbury,0
619,Jacob Hamblin,John T. Caine,0
620,Jacob Hamblin,Erastus Snow,4
621,Jacob Hamblin,Orson F. Whitney,1
622,Jacob Hamblin,David O. McKay,0
623,Jacob Hamblin,Kit Carson,0
624,Jacob Hamblin,William H. King,0
625,Jacob Hamblin,Emmeline B. Wells,0
626,Jacob Hamblin,Andrew Jenson,0
627,Jacob Hamblin,Grover Cleveland,0
628,Jacob Hamblin,Charles Kelly,0
629,Jacob Hamblin,Frank J. Cannon,0
630,Theodore Roosevelt,Abraham Lincoln,0
631,Theodore Roosevelt,James Buchanan,0
632,Theodore Roosevelt,Parley P. Pratt,0
633,Theodore Roosevelt,B. H. Roberts,0
634,Theodore Roosevelt,Simon Bamberger,0
635,Theodore Roosevelt,Franklin D. Richards,0
636,Theodore Roosevelt,Lorenzo Snow,0
637,Theodore Roosevelt,Heber M. Wells,1
638,Theodore Roosevelt,Franklin D. Roosevelt,1
639,Theodore Roosevelt,William Spry,0
640,Theodore Roosevelt,Thomas Kearns,0
641,Theodore Roosevelt,Willard Richards,0
642,Theodore Roosevelt,Orson Hyde,0
643,Theodore Roosevelt,Uncle Sam,0
644,Theodore Roosevelt,Lot Smith,0
645,Theodore Roosevelt,Albert Sidney Johnston,0
646,Theodore Roosevelt,Woodrow Wilson,7
647,Theodore Roosevelt,Juanita Brooks,0
648,Theodore Roosevelt,Thomas L. Kane,0
649,Theodore Roosevelt,Jim Bridger,0
650,Theodore Roosevelt,John C. Fremont,0
651,Theodore Roosevelt,Leonard Arrington,0
652,Theodore Roosevelt,Howard Stansbury,0
