Source,Target,Weight
George A. Smith,Uncle Sam,0
George A. Smith,Lot Smith,1
George A. Smith,Albert Sidney Johnston,1
George A. Smith,Woodrow Wilson,0
George A. Smith,Juanita Brooks,1
George A. Smith,Thomas L. Kane,0
George A. Smith,Jim Bridger,0
George A. Smith,John C. Fremont,1
George A. Smith,Leonard Arrington,0
George A. Smith,Howard Stansbury,0
George A. Smith,John T. Caine,0
George A. Smith,Erastus Snow,9
George A. Smith,Orson F. Whitney,0
George A. Smith,David O. McKay,0
George A. Smith,Kit Carson,0
George A. Smith,William H. King,0
George A. Smith,Emmeline B. Wells,0
George A. Smith,Andrew Jenson,0
George A. Smith,Grover Cleveland,0
George A. Smith,Charles Kelly,0
George A. Smith,Frank J. Cannon,0
Heber C. Kimball,Joseph F. Smith,0
Heber C. Kimball,Orson Pratt,4
Heber C. Kimball,Daniel H. Wells,8
Heber C. Kimball,Reed Smoot,0
Heber C. Kimball,John D. Lee,3
Heber C. Kimball,Heber J. Grant,0
Heber C. Kimball,John Wesley Powell,0
Heber C. Kimball,Jacob Hamblin,0
Heber C. Kimball,Theodore Roosevelt,0
Heber C. Kimball,Abraham Lincoln,0
Heber C. Kimball,James Buchanan,0
Heber C. Kimball,Parley P. Pratt,6
Heber C. Kimball,B. H. Roberts,0
Heber C. Kimball,Simon Bamberger,0
Heber C. Kimball,Franklin D. Richards,2
Heber C. Kimball,Lorenzo Snow,0
Heber C. Kimball,Heber M. Wells,0
Heber C. Kimball,Franklin D. Roosevelt,0
Heber C. Kimball,William Spry,0
Heber C. Kimball,Thomas Kearns,0
Heber C. Kimball,Willard Richards,14
Heber C. Kimball,Orson Hyde,2
Heber C. Kimball,Uncle Sam,1
Heber C. Kimball,Lot Smith,0
Heber C. Kimball,Albert Sidney Johnston,0
Heber C. Kimball,Woodrow Wilson,0
Heber C. Kimball,Juanita Brooks,0
Heber C. Kimball,Thomas L. Kane,0
Heber C. Kimball,Jim Bridger,0
Heber C. Kimball,John C. Fremont,0
Heber C. Kimball,Leonard Arrington,0
Heber C. Kimball,Howard Stansbury,0
Heber C. Kimball,John T. Caine,0
Heber C. Kimball,Erastus Snow,1
Heber C. Kimball,Orson F. Whitney,0
Heber C. Kimball,David O. McKay,0
Heber C. Kimball,Kit Carson,0
Heber C. Kimball,William H. King,0
Heber C. Kimball,Emmeline B. Wells,0
Heber C. Kimball,Andrew Jenson,0
Heber C. Kimball,Grover Cleveland,0
Heber C. Kimball,Charles Kelly,0
Heber C. Kimball,Frank J. Cannon,0
Joseph F. Smith,Orson Pratt,1
Joseph F. Smith,Daniel H. Wells,2
Joseph F. Smith,Reed Smoot,15
Joseph F. Smith,John D. Lee,0
Joseph F. Smith,Heber J. Grant,14
Joseph F. Smith,John Wesley Powell,0
Joseph F. Smith,Jacob Hamblin,0
Joseph F. Smith,Theodore Roosevelt,0
Joseph F. Smith,Abraham Lincoln,0
Joseph F. Smith,James Buchanan,0
Joseph F. Smith,Parley P. Pratt,0
Joseph F. Smith,B. H. Roberts,5
Joseph F. Smith,Simon Bamberger,1
Joseph F. Smith,Franklin D. Richards,1
Joseph F. Smith,Lorenzo Snow,9
Joseph F. Smith,Heber M. Wells,0
Joseph F. Smith,Franklin D. Roosevelt,0
Joseph F. Smith,William Spry,3
Joseph F. Smith,Thomas Kearns,4
Joseph F. Smith,Willard Richards,0
Joseph F. Smith,Orson Hyde,1
Joseph F. Smith,Uncle Sam,1
Joseph F. Smith,Lot Smith,1
Joseph F. Smith,Albert Sidney Johnston,0
Joseph F. Smith,Woodrow Wilson,0
Joseph F. Smith,Juanita Brooks,0
Joseph F. Smith,Thomas L. Kane,0
Joseph F. Smith,Jim Bridger,0
Joseph F. Smith,John C. Fremont,0
Joseph F. Smith,Leonard Arrington,0
Joseph F. Smith,Howard Stansbury,0
Joseph F. Smith,John T. Caine,2
Joseph F. Smith,Erastus Snow,0
Joseph F. Smith,Orson F. Whitney,1
Joseph F. Smith,David O. McKay,2
Joseph F. Smith,Kit Carson,0
Joseph F. Smith,William H. King,2
Joseph F. Smith,Emmeline B. Wells,0
Joseph F. Smith,Andrew Jenson,1
Joseph F. Smith,Grover Cleveland,0
Joseph F. Smith,Charles Kelly,0
Joseph F. Smith,Frank J. Cannon,3
Orson Pratt,Daniel H. Wells,1
Orson Pratt,Reed Smoot,0
Orson Pratt,John D. Lee,2
Orson Pratt,Heber J. Grant,0
Orson Pratt,John Wesley Powell,1
Orson Pratt,Jacob Hamblin,1
Orson Pratt,Theodore Roosevelt,1
Orson Pratt,Abraham Lincoln,0
Orson Pratt,James Buchanan,0
Orson Pratt,Parley P. Pratt,6
Orson Pratt,B. H. Roberts,1
Orson Pratt,Simon Bamberger,0
Orson Pratt,Franklin D. Richards,8
